,Rank,City,State,Population,Latitude,Longitude,Address,Cluster Labels,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue,11th Most Common Venue,12th Most Common Venue,13th Most Common Venue,14th Most Common Venue,15th Most Common Venue,16th Most Common Venue,17th Most Common Venue,18th Most Common Venue,19th Most Common Venue,20th Most Common Venue,21th Most Common Venue,22th Most Common Venue,23th Most Common Venue,24th Most Common Venue,25th Most Common Venue
189,190,Dayton,Ohio,"140,640",39.7774,-84.1996,"Dayton, Ohio",0,Pizza Place,Sandwich Place,American Restaurant,Chinese Restaurant,Mexican Restaurant,Seafood Restaurant,Burger Joint,Breakfast Spot,Hot Dog Joint,Italian Restaurant,Fast Food Restaurant,Steakhouse,Bakery,Café,Deli / Bodega,Thai Restaurant,Gastropub,Japanese Restaurant,Greek Restaurant,New American Restaurant,Middle Eastern Restaurant,Diner,Donut Shop,Mongolian Restaurant,Wings Joint
190,191,Fullerton,California,"139,640",33.8857,-117.928,"Fullerton, California",5,Pizza Place,Bakery,Italian Restaurant,American Restaurant,Mexican Restaurant,Seafood Restaurant,Sandwich Place,Taco Place,Burger Joint,Fast Food Restaurant,Sushi Restaurant,Steakhouse,Café,Donut Shop,Food Court,Japanese Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Korean Restaurant,Deli / Bodega,Mediterranean Restaurant,Filipino Restaurant,Falafel Restaurant,Salad Place,Latin American Restaurant
191,192,Olathe,Kansas,"139,605",38.8843,-94.8195,"Olathe, Kansas",6,American Restaurant,Pizza Place,Mexican Restaurant,Sandwich Place,BBQ Joint,Bakery,Breakfast Spot,Greek Restaurant,Italian Restaurant,Asian Restaurant,Thai Restaurant,Seafood Restaurant,Fast Food Restaurant,Sushi Restaurant,Indian Restaurant,Salvadoran Restaurant,Korean Restaurant,Middle Eastern Restaurant,Burger Joint,Steakhouse,Fried Chicken Joint,Japanese Restaurant,Gluten-free Restaurant,Eastern European Restaurant,Empanada Restaurant
192,193,Orange,California,"139,484",33.787,-117.8613,"Orange, California",3,American Restaurant,Seafood Restaurant,Pizza Place,Bakery,Mexican Restaurant,Burger Joint,Italian Restaurant,Vegetarian / Vegan Restaurant,Korean Restaurant,Sushi Restaurant,Fast Food Restaurant,Steakhouse,Mediterranean Restaurant,French Restaurant,Sandwich Place,Breakfast Spot,Japanese Restaurant,Donut Shop,New American Restaurant,Café,Latin American Restaurant,Chinese Restaurant,Deli / Bodega,Salad Place,Food Court
193,194,Thornton,Colorado,"139,436",39.9194,-104.9428,"Thornton, Colorado",6,American Restaurant,Pizza Place,Breakfast Spot,Mexican Restaurant,Italian Restaurant,Burger Joint,New American Restaurant,Sandwich Place,Taco Place,Fast Food Restaurant,Steakhouse,Gastropub,Sushi Restaurant,BBQ Joint,Comfort Food Restaurant,Indian Restaurant,Seafood Restaurant,Food Court,Japanese Restaurant,Chinese Restaurant,Burrito Place,Korean Restaurant,Mediterranean Restaurant,Café,Wings Joint
194,195,Roseville,California,"139,117",38.769,-121.3189,"Roseville, California",1,Mexican Restaurant,American Restaurant,Pizza Place,Sushi Restaurant,Sandwich Place,Burger Joint,Café,Chinese Restaurant,Fast Food Restaurant,Thai Restaurant,Breakfast Spot,Bakery,Italian Restaurant,New American Restaurant,Seafood Restaurant,Steakhouse,Donut Shop,Japanese Restaurant,Asian Restaurant,French Restaurant,BBQ Joint,Persian Restaurant,Vegetarian / Vegan Restaurant,Diner,Gastropub
195,196,Denton,Texas,"138,541",33.2166,-97.1414,"Denton, Texas",1,Pizza Place,Mexican Restaurant,BBQ Joint,American Restaurant,Italian Restaurant,Steakhouse,Sushi Restaurant,Bakery,Breakfast Spot,Burger Joint,New American Restaurant,Fast Food Restaurant,Southern / Soul Food Restaurant,Seafood Restaurant,Taco Place,Fried Chicken Joint,Sandwich Place,Korean Restaurant,Greek Restaurant,Deli / Bodega,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Latin American Restaurant,Tapas Restaurant,Café
196,197,Waco,Texas,"138,183",31.5601,-97.186,"Waco, Texas",1,Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Fast Food Restaurant,Bakery,Steakhouse,Deli / Bodega,Fried Chicken Joint,Sandwich Place,Italian Restaurant,Breakfast Spot,Chinese Restaurant,Czech Restaurant,Mediterranean Restaurant,Donut Shop,New American Restaurant,Café,Seafood Restaurant,Food Court,Cajun / Creole Restaurant,Food Truck,Sushi Restaurant,Japanese Restaurant,Taco Place
197,198,Surprise,Arizona,"138,161",33.6706,-112.4527,"Surprise, Arizona",1,Mexican Restaurant,Pizza Place,American Restaurant,Sandwich Place,Italian Restaurant,Burger Joint,Vietnamese Restaurant,Greek Restaurant,Asian Restaurant,Sushi Restaurant,Fast Food Restaurant,Steakhouse,BBQ Joint,Bakery,Breakfast Spot,Seafood Restaurant,Fried Chicken Joint,Cajun / Creole Restaurant,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Diner,Gluten-free Restaurant,Gastropub,Chinese Restaurant,Latin American Restaurant
198,199,Carrollton,Texas,"136,879",32.9884,-96.8998,"Carrollton, Texas",2,American Restaurant,Mexican Restaurant,Burger Joint,Pizza Place,BBQ Joint,Steakhouse,Sushi Restaurant,Seafood Restaurant,Italian Restaurant,Taco Place,New American Restaurant,Bakery,Greek Restaurant,Southern / Soul Food Restaurant,Café,Breakfast Spot,Tex-Mex Restaurant,Fast Food Restaurant,Latin American Restaurant,Deli / Bodega,Chinese Restaurant,Food Court,Korean Restaurant,Brazilian Restaurant,Japanese Restaurant
199,200,West Valley City,Utah,"136,401",40.6885,-112.0118,"West Valley City, Utah",5,Pizza Place,Bakery,Fast Food Restaurant,Sandwich Place,Italian Restaurant,Mexican Restaurant,Vietnamese Restaurant,Breakfast Spot,Vegetarian / Vegan Restaurant,Mediterranean Restaurant,Sushi Restaurant,Indian Restaurant,Asian Restaurant,Thai Restaurant,Diner,Burger Joint,Deli / Bodega,Japanese Restaurant,Café,American Restaurant,Middle Eastern Restaurant,New American Restaurant,BBQ Joint,Wings Joint,Chinese Restaurant
200,201,Charleston,South Carolina,"136,208",32.8179,-79.959,"Charleston, South Carolina",3,Seafood Restaurant,American Restaurant,Pizza Place,Southern / Soul Food Restaurant,Café,BBQ Joint,Burger Joint,New American Restaurant,Bakery,Mediterranean Restaurant,Deli / Bodega,Sandwich Place,Italian Restaurant,Steakhouse,Mexican Restaurant,Gastropub,Breakfast Spot,Vegetarian / Vegan Restaurant,Donut Shop,Vietnamese Restaurant,Diner,Fried Chicken Joint,Tapas Restaurant,Thai Restaurant,Bistro
201,202,Warren,Michigan,"134,587",42.4929,-83.025,"Warren, Michigan",0,Pizza Place,American Restaurant,Breakfast Spot,Bakery,Diner,Sushi Restaurant,Mediterranean Restaurant,Deli / Bodega,Burger Joint,Sandwich Place,Italian Restaurant,Café,Bagel Shop,Middle Eastern Restaurant,Mexican Restaurant,BBQ Joint,Steakhouse,Asian Restaurant,Seafood Restaurant,New American Restaurant,Food,Fast Food Restaurant,Polish Restaurant,Falafel Restaurant,Donut Shop
202,203,Hampton,Virginia,"134,313",37.048,-76.2971,"Hampton, Virginia",6,American Restaurant,Pizza Place,Sandwich Place,Seafood Restaurant,Donut Shop,Mexican Restaurant,Breakfast Spot,Bakery,Burger Joint,Steakhouse,Fast Food Restaurant,Italian Restaurant,BBQ Joint,Café,Sushi Restaurant,Deli / Bodega,Chinese Restaurant,Bistro,Diner,Vietnamese Restaurant,Asian Restaurant,Korean Restaurant,Japanese Restaurant,Bagel Shop,Indian Restaurant
203,204,Gainesville,Florida,"133,857",29.6788,-82.3461,"Gainesville, Florida",6,Mexican Restaurant,American Restaurant,Pizza Place,BBQ Joint,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Burger Joint,Latin American Restaurant,Seafood Restaurant,Steakhouse,Donut Shop,Deli / Bodega,Caribbean Restaurant,Sandwich Place,Korean Restaurant,Wings Joint,Asian Restaurant,Gastropub,Bakery,Chinese Restaurant,New American Restaurant,Noodle House,Southern / Soul Food Restaurant,Japanese Restaurant
204,205,Visalia,California,"133,800",36.3273,-119.3289,"Visalia, California",1,Mexican Restaurant,Burger Joint,American Restaurant,Pizza Place,Diner,Fast Food Restaurant,Sushi Restaurant,Breakfast Spot,Café,Japanese Restaurant,Bakery,Mediterranean Restaurant,Vietnamese Restaurant,Italian Restaurant,Food,Chinese Restaurant,Donut Shop,Food Court,Seafood Restaurant,New American Restaurant,Sandwich Place,Wings Joint,Vegetarian / Vegan Restaurant,Taco Place,Indian Restaurant
205,206,Coral Springs,Florida,"133,507",26.2707,-80.2593,"Coral Springs, Florida",0,Pizza Place,American Restaurant,Seafood Restaurant,Mexican Restaurant,Burger Joint,Sandwich Place,Italian Restaurant,Fast Food Restaurant,Sushi Restaurant,Steakhouse,New American Restaurant,Deli / Bodega,Diner,Breakfast Spot,Cuban Restaurant,Bakery,Middle Eastern Restaurant,Donut Shop,Mediterranean Restaurant,Lebanese Restaurant,Korean Restaurant,Peruvian Restaurant,Food Truck,Indian Restaurant,Gastropub
206,207,Columbia,South Carolina,"133,451",34.0291,-80.898,"Columbia, South Carolina",1,American Restaurant,Pizza Place,Burger Joint,Mexican Restaurant,Sandwich Place,Seafood Restaurant,Chinese Restaurant,Bakery,Fast Food Restaurant,Asian Restaurant,Deli / Bodega,Italian Restaurant,Donut Shop,Café,Southern / Soul Food Restaurant,BBQ Joint,Gastropub,Breakfast Spot,Korean Restaurant,Noodle House,Mediterranean Restaurant,Cajun / Creole Restaurant,Wings Joint,Thai Restaurant,Sushi Restaurant
207,208,Cedar Rapids,Iowa,"133,174",41.967,-91.6778,"Cedar Rapids, Iowa",6,American Restaurant,Pizza Place,Mexican Restaurant,Burger Joint,Café,Sandwich Place,Italian Restaurant,Steakhouse,Bakery,Fast Food Restaurant,Diner,Noodle House,Vietnamese Restaurant,Asian Restaurant,Breakfast Spot,Chinese Restaurant,New American Restaurant,Deli / Bodega,Mediterranean Restaurant,Donut Shop,Comfort Food Restaurant,Falafel Restaurant,Burrito Place,BBQ Joint,Hot Dog Joint
208,209,Sterling Heights,Michigan,"132,964",42.5812,-83.0303,"Sterling Heights, Michigan",0,Pizza Place,American Restaurant,Breakfast Spot,Sushi Restaurant,Sandwich Place,Bakery,Mexican Restaurant,Mediterranean Restaurant,Diner,Seafood Restaurant,Burger Joint,Italian Restaurant,Middle Eastern Restaurant,Thai Restaurant,Donut Shop,Hot Dog Joint,Steakhouse,Bagel Shop,BBQ Joint,New American Restaurant,Polish Restaurant,Greek Restaurant,Falafel Restaurant,Asian Restaurant,Food
209,210,New Haven,Connecticut,"130,418",41.3108,-72.925,"New Haven, Connecticut",0,Pizza Place,Italian Restaurant,American Restaurant,Sandwich Place,Deli / Bodega,Seafood Restaurant,Diner,Mexican Restaurant,Fast Food Restaurant,Bakery,BBQ Joint,Breakfast Spot,Burger Joint,Café,Greek Restaurant,Indian Restaurant,Brazilian Restaurant,Turkish Restaurant,Spanish Restaurant,Noodle House,Donut Shop,Latin American Restaurant,Mac & Cheese Joint,Food Truck,Falafel Restaurant
210,211,Stamford,Connecticut,"129,775",41.0799,-73.546,"Stamford, Connecticut",0,Pizza Place,Italian Restaurant,American Restaurant,Greek Restaurant,Deli / Bodega,Mexican Restaurant,Sandwich Place,Bakery,Brazilian Restaurant,Thai Restaurant,Café,Latin American Restaurant,New American Restaurant,Seafood Restaurant,Steakhouse,Cuban Restaurant,BBQ Joint,African Restaurant,Indian Restaurant,Fish & Chips Shop,Japanese Restaurant,Asian Restaurant,Caribbean Restaurant,Bagel Shop,Arepa Restaurant
211,212,Concord,California,"129,688",37.9722,-122.0016,"Concord, California",5,Café,Pizza Place,Bakery,Mexican Restaurant,American Restaurant,Vietnamese Restaurant,Italian Restaurant,Burger Joint,Sushi Restaurant,New American Restaurant,Food Truck,Mediterranean Restaurant,Deli / Bodega,Sandwich Place,Breakfast Spot,Japanese Restaurant,Seafood Restaurant,Asian Restaurant,Thai Restaurant,Spanish Restaurant,Fried Chicken Joint,Latin American Restaurant,Fast Food Restaurant,Tapas Restaurant,Taco Place
212,213,Kent,Washington,"129,618",47.388,-122.2127,"Kent, Washington",5,Vietnamese Restaurant,Pizza Place,Mexican Restaurant,Italian Restaurant,Dumpling Restaurant,Sandwich Place,Bakery,Steakhouse,Seafood Restaurant,Diner,Café,Thai Restaurant,Japanese Restaurant,Burger Joint,Mediterranean Restaurant,Sushi Restaurant,Breakfast Spot,New American Restaurant,Food Truck,Indian Restaurant,Asian Restaurant,BBQ Joint,Taco Place,Ethiopian Restaurant,Spanish Restaurant
213,214,Santa Clara,California,"129,488",37.3646,-121.9679,"Santa Clara, California",5,Sandwich Place,Pizza Place,American Restaurant,Mexican Restaurant,Vegetarian / Vegan Restaurant,Korean Restaurant,Café,Middle Eastern Restaurant,Japanese Restaurant,Seafood Restaurant,Cajun / Creole Restaurant,Italian Restaurant,Falafel Restaurant,Mediterranean Restaurant,Chinese Restaurant,Israeli Restaurant,Donut Shop,Fast Food Restaurant,Burger Joint,Greek Restaurant,Breakfast Spot,Vietnamese Restaurant,Sushi Restaurant,Steakhouse,Food Court
214,215,Elizabeth,New Jersey,"128,885",40.6664,-74.1935,"Elizabeth, New Jersey",5,Bakery,Italian Restaurant,Pizza Place,Café,Sandwich Place,Sushi Restaurant,Seafood Restaurant,Mexican Restaurant,American Restaurant,Food Court,Chinese Restaurant,Deli / Bodega,Bagel Shop,Thai Restaurant,Mediterranean Restaurant,Asian Restaurant,New American Restaurant,Japanese Restaurant,Falafel Restaurant,Donut Shop,Eastern European Restaurant,Cuban Restaurant,Portuguese Restaurant,Colombian Restaurant,Salad Place
215,216,Round Rock,Texas,"128,739",30.5252,-97.666,"Round Rock, Texas",2,Pizza Place,Taco Place,Burger Joint,Sandwich Place,American Restaurant,Mexican Restaurant,Seafood Restaurant,BBQ Joint,Bakery,Sushi Restaurant,Italian Restaurant,Vietnamese Restaurant,Fast Food Restaurant,Asian Restaurant,New American Restaurant,Steakhouse,Chinese Restaurant,Donut Shop,Japanese Restaurant,Cajun / Creole Restaurant,Thai Restaurant,Fried Chicken Joint,Café,Salad Place,Falafel Restaurant
216,217,Thousand Oaks,California,"127,690",34.1933,-118.8742,"Thousand Oaks, California",3,Seafood Restaurant,American Restaurant,Pizza Place,Sushi Restaurant,Sandwich Place,Café,Burger Joint,Breakfast Spot,Deli / Bodega,Italian Restaurant,Vietnamese Restaurant,Poke Place,Mexican Restaurant,Vegetarian / Vegan Restaurant,Thai Restaurant,Bakery,Steakhouse,BBQ Joint,Japanese Restaurant,French Restaurant,Australian Restaurant,Asian Restaurant,Salad Place,Hot Dog Joint,Caribbean Restaurant
217,218,Lafayette,Louisiana,"126,143",30.2074,-92.0285,"Lafayette, Louisiana",2,Cajun / Creole Restaurant,Fast Food Restaurant,Seafood Restaurant,Burger Joint,American Restaurant,Café,Pizza Place,Sandwich Place,Mexican Restaurant,Italian Restaurant,Greek Restaurant,Breakfast Spot,Fried Chicken Joint,Thai Restaurant,Bakery,Sushi Restaurant,Steakhouse,Donut Shop,Mediterranean Restaurant,Japanese Restaurant,Deli / Bodega,Diner,Chinese Restaurant,Comfort Food Restaurant,Cuban Restaurant
218,219,Athens,Georgia,"125,964",33.9496,-83.3701,"Athens, Georgia",1,Mexican Restaurant,Pizza Place,American Restaurant,Burrito Place,New American Restaurant,BBQ Joint,Fast Food Restaurant,Sandwich Place,Burger Joint,Breakfast Spot,Steakhouse,Bakery,Greek Restaurant,Mediterranean Restaurant,Taco Place,Bagel Shop,Italian Restaurant,Fried Chicken Joint,Seafood Restaurant,Latin American Restaurant,Food,Japanese Restaurant,Indian Restaurant,Donut Shop,Diner
219,220,Topeka,Kansas,"125,904",39.0347,-95.6962,"Topeka, Kansas",1,Pizza Place,Mexican Restaurant,Burger Joint,Sandwich Place,Bakery,Fast Food Restaurant,American Restaurant,Chinese Restaurant,Asian Restaurant,Breakfast Spot,Vietnamese Restaurant,Italian Restaurant,Japanese Restaurant,Donut Shop,Steakhouse,BBQ Joint,Indian Restaurant,Seafood Restaurant,Café,Mediterranean Restaurant,Deli / Bodega,Cajun / Creole Restaurant,Noodle House,Diner,Fried Chicken Joint
220,221,Simi Valley,California,"125,851",34.2669,-118.7485,"Simi Valley, California",3,Sushi Restaurant,American Restaurant,Pizza Place,Seafood Restaurant,Burger Joint,Café,Sandwich Place,Mexican Restaurant,Italian Restaurant,Bakery,Poke Place,Breakfast Spot,Deli / Bodega,Steakhouse,Mediterranean Restaurant,Thai Restaurant,BBQ Joint,Vegetarian / Vegan Restaurant,Japanese Restaurant,Donut Shop,Caribbean Restaurant,Comfort Food Restaurant,Salad Place,Hot Dog Joint,Noodle House
221,222,Fargo,North Dakota,"124,844",46.8652,-96.829,"Fargo, North Dakota",1,Pizza Place,Sandwich Place,Mexican Restaurant,Burger Joint,American Restaurant,Taco Place,Indian Restaurant,Diner,Bakery,Italian Restaurant,Fast Food Restaurant,Steakhouse,Sushi Restaurant,Wings Joint,Asian Restaurant,Donut Shop,Bagel Shop,BBQ Joint,Mediterranean Restaurant,Seafood Restaurant,Chinese Restaurant,Deli / Bodega,Cajun / Creole Restaurant,Gastropub,German Restaurant
222,223,Norman,Oklahoma,"123,471",35.2406,-97.3453,"Norman, Oklahoma",1,American Restaurant,Burger Joint,Pizza Place,Mexican Restaurant,Fast Food Restaurant,Sandwich Place,BBQ Joint,Italian Restaurant,Sushi Restaurant,Bakery,Fried Chicken Joint,Vietnamese Restaurant,Diner,Deli / Bodega,New American Restaurant,Taco Place,Thai Restaurant,Asian Restaurant,Fondue Restaurant,Greek Restaurant,Vegetarian / Vegan Restaurant,German Restaurant,Mediterranean Restaurant,Indian Restaurant,Gastropub
223,224,Columbia,Missouri,"123,180",38.951561,-92.328638,"Columbia, Missouri",0,Pizza Place,American Restaurant,Sandwich Place,Burger Joint,Bakery,Steakhouse,Mexican Restaurant,Chinese Restaurant,BBQ Joint,Sushi Restaurant,Italian Restaurant,Café,Gastropub,Japanese Restaurant,Wings Joint,Fast Food Restaurant,Diner,Donut Shop,Cajun / Creole Restaurant,Middle Eastern Restaurant,Deli / Bodega,Falafel Restaurant,Polish Restaurant,Mongolian Restaurant,Noodle House
224,225,Abilene,Texas,"122,999",32.4545,-99.7381,"Abilene, Texas",6,American Restaurant,Mexican Restaurant,Fast Food Restaurant,Deli / Bodega,Pizza Place,Burger Joint,Steakhouse,Sandwich Place,Tex-Mex Restaurant,Chinese Restaurant,BBQ Joint,Wings Joint,Fried Chicken Joint,Seafood Restaurant,Food,Donut Shop,Truck Stop,Japanese Restaurant,Italian Restaurant,Thai Restaurant,Grilled Meat Restaurant,Dumpling Restaurant,Eastern European Restaurant,Hawaiian Restaurant,Empanada Restaurant
225,226,Wilmington,North Carolina,"122,607",34.2092,-77.8858,"Wilmington, North Carolina",3,Sandwich Place,Seafood Restaurant,Burger Joint,American Restaurant,Pizza Place,Italian Restaurant,Mexican Restaurant,Breakfast Spot,Deli / Bodega,French Restaurant,Southern / Soul Food Restaurant,Café,Fast Food Restaurant,Diner,Sushi Restaurant,Japanese Restaurant,Taco Place,Hot Dog Joint,Thai Restaurant,BBQ Joint,Burrito Place,Mongolian Restaurant,Latin American Restaurant,Chinese Restaurant,Greek Restaurant
226,227,Hartford,Connecticut,"122,587",41.7659,-72.6816,"Hartford, Connecticut",6,American Restaurant,Pizza Place,Bakery,Italian Restaurant,Burger Joint,Mexican Restaurant,Sushi Restaurant,BBQ Joint,Steakhouse,Asian Restaurant,Hot Dog Joint,Chinese Restaurant,Breakfast Spot,Vietnamese Restaurant,Café,Seafood Restaurant,Diner,Thai Restaurant,Bagel Shop,Comfort Food Restaurant,Deli / Bodega,Middle Eastern Restaurant,Latin American Restaurant,Fast Food Restaurant,Sandwich Place
227,228,Victorville,California,"122,312",34.5277,-117.3536,"Victorville, California",1,Mexican Restaurant,American Restaurant,Pizza Place,Burger Joint,Diner,Italian Restaurant,Sandwich Place,Café,Sushi Restaurant,Fast Food Restaurant,Breakfast Spot,Thai Restaurant,Steakhouse,Donut Shop,Chinese Restaurant,Bakery,Falafel Restaurant,Seafood Restaurant,Deli / Bodega,Japanese Restaurant,Korean Restaurant,Mediterranean Restaurant,BBQ Joint,Noodle House,Asian Restaurant
228,229,Pearland,Texas,"122,149",29.5558,-95.3231,"Pearland, Texas",2,Pizza Place,Mexican Restaurant,Café,American Restaurant,BBQ Joint,Food Truck,Taco Place,Vietnamese Restaurant,Burger Joint,Japanese Restaurant,Italian Restaurant,Fast Food Restaurant,Cajun / Creole Restaurant,Seafood Restaurant,New American Restaurant,Thai Restaurant,Bagel Shop,Sandwich Place,Sushi Restaurant,Steakhouse,Breakfast Spot,Gastropub,Ramen Restaurant,Mediterranean Restaurant,Irish Pub
229,230,Vallejo,California,"121,913",38.1079,-122.264,"Vallejo, California",5,Pizza Place,Café,Mexican Restaurant,Bakery,Italian Restaurant,American Restaurant,Burger Joint,Deli / Bodega,Seafood Restaurant,Breakfast Spot,Food Truck,Vietnamese Restaurant,Japanese Restaurant,New American Restaurant,Thai Restaurant,Sandwich Place,Mediterranean Restaurant,Steakhouse,Latin American Restaurant,Brazilian Restaurant,French Restaurant,Asian Restaurant,Salad Place,Russian Restaurant,Caribbean Restaurant
230,231,Ann Arbor,Michigan,"121,890",42.2761,-83.7309,"Ann Arbor, Michigan",0,Pizza Place,American Restaurant,Mexican Restaurant,Sandwich Place,Breakfast Spot,Café,Burger Joint,Italian Restaurant,Sushi Restaurant,Noodle House,Seafood Restaurant,Middle Eastern Restaurant,Indian Restaurant,Bakery,Chinese Restaurant,Steakhouse,Deli / Bodega,French Restaurant,BBQ Joint,Gastropub,Vegetarian / Vegan Restaurant,Burrito Place,Fast Food Restaurant,Diner,Donut Shop
231,232,Berkeley,California,"121,643",37.867,-122.2991,"Berkeley, California",5,Pizza Place,Café,Mexican Restaurant,Bakery,Food Truck,Sushi Restaurant,New American Restaurant,Italian Restaurant,Vietnamese Restaurant,Sandwich Place,Japanese Restaurant,Mediterranean Restaurant,Deli / Bodega,Seafood Restaurant,Thai Restaurant,French Restaurant,Asian Restaurant,American Restaurant,Spanish Restaurant,Breakfast Spot,Moroccan Restaurant,Donut Shop,Dim Sum Restaurant,Wings Joint,Ethiopian Restaurant
232,233,Allentown,Pennsylvania,"121,433",40.5936,-75.4784,"Allentown, Pennsylvania",0,American Restaurant,Italian Restaurant,Pizza Place,Mexican Restaurant,Bakery,Burger Joint,Diner,Gastropub,Sandwich Place,Café,Mediterranean Restaurant,Fast Food Restaurant,Seafood Restaurant,Japanese Restaurant,New American Restaurant,Sushi Restaurant,Asian Restaurant,Breakfast Spot,Tapas Restaurant,Food Stand,Hot Dog Joint,Salad Place,Middle Eastern Restaurant,Cajun / Creole Restaurant,Gluten-free Restaurant
233,234,Richardson,Texas,"120,981",32.9723,-96.7081,"Richardson, Texas",2,American Restaurant,Pizza Place,New American Restaurant,Burger Joint,Taco Place,Sushi Restaurant,Seafood Restaurant,Steakhouse,Mexican Restaurant,BBQ Joint,Greek Restaurant,Italian Restaurant,Tex-Mex Restaurant,Donut Shop,Café,Fast Food Restaurant,Breakfast Spot,Food Court,Chinese Restaurant,Latin American Restaurant,Japanese Restaurant,Fried Chicken Joint,Bakery,Thai Restaurant,Brazilian Restaurant
234,235,Odessa,Texas,"120,568",31.8838,-102.3411,"Odessa, Texas",4,Mexican Restaurant,Burger Joint,Sandwich Place,Deli / Bodega,Fast Food Restaurant,American Restaurant,Steakhouse,Chinese Restaurant,Bakery,BBQ Joint,Japanese Restaurant,Italian Restaurant,Food Truck,Donut Shop,Sushi Restaurant,Seafood Restaurant,Taco Place,Vegetarian / Vegan Restaurant,Tex-Mex Restaurant,Thai Restaurant,Asian Restaurant,Pizza Place,Filipino Restaurant,Fish & Chips Shop,Wings Joint
235,236,Arvada,Colorado,"120,492",39.8337,-105.1503,"Arvada, Colorado",6,American Restaurant,Pizza Place,New American Restaurant,Italian Restaurant,Mexican Restaurant,Sandwich Place,Taco Place,Burger Joint,Breakfast Spot,Bakery,Chinese Restaurant,Steakhouse,Sushi Restaurant,Seafood Restaurant,Japanese Restaurant,BBQ Joint,Indian Restaurant,Korean Restaurant,Mediterranean Restaurant,Food Court,Fast Food Restaurant,French Restaurant,Diner,Gastropub,Hot Dog Joint
236,237,Cambridge,Massachusetts,"118,977",42.376,-71.1187,"Cambridge, Massachusetts",5,Bakery,Pizza Place,Sandwich Place,Vegetarian / Vegan Restaurant,Italian Restaurant,Mexican Restaurant,Café,American Restaurant,New American Restaurant,Seafood Restaurant,Greek Restaurant,Japanese Restaurant,Sushi Restaurant,French Restaurant,Tapas Restaurant,Dumpling Restaurant,Gastropub,Comfort Food Restaurant,Burrito Place,Jewish Restaurant,Peruvian Restaurant,Latin American Restaurant,Mediterranean Restaurant,Bistro,Burger Joint
237,238,Sugar Land,Texas,"118,600",29.5994,-95.6142,"Sugar Land, Texas",2,Café,Steakhouse,Seafood Restaurant,Mexican Restaurant,Sushi Restaurant,American Restaurant,Burger Joint,Japanese Restaurant,New American Restaurant,Deli / Bodega,French Restaurant,Pizza Place,Fast Food Restaurant,Mediterranean Restaurant,Vietnamese Restaurant,Churrascaria,Sandwich Place,Italian Restaurant,South American Restaurant,Middle Eastern Restaurant,BBQ Joint,Fried Chicken Joint,Breakfast Spot,Chinese Restaurant,Fondue Restaurant
238,239,Beaumont,Texas,"118,428",30.0849,-94.1453,"Beaumont, Texas",1,Mexican Restaurant,Burger Joint,Italian Restaurant,Steakhouse,Fast Food Restaurant,Seafood Restaurant,Deli / Bodega,Pizza Place,Sushi Restaurant,American Restaurant,Bakery,Sandwich Place,Vietnamese Restaurant,Cajun / Creole Restaurant,Comfort Food Restaurant,Wings Joint,Thai Restaurant,Fried Chicken Joint,Donut Shop,Bistro,Indian Restaurant,Cuban Restaurant,Chinese Restaurant,Mediterranean Restaurant,Café
239,240,Lansing,Michigan,"118,427",42.7143,-84.5593,"Lansing, Michigan",0,Pizza Place,American Restaurant,Sushi Restaurant,Mexican Restaurant,Italian Restaurant,Sandwich Place,Middle Eastern Restaurant,BBQ Joint,Steakhouse,Thai Restaurant,Fast Food Restaurant,Chinese Restaurant,Seafood Restaurant,Greek Restaurant,Diner,Burger Joint,Breakfast Spot,Bakery,Creperie,Cajun / Creole Restaurant,Café,Food Truck,Fried Chicken Joint,Bistro,Malay Restaurant
240,241,Evansville,Indiana,"117,963",37.9877,-87.5347,"Evansville, Indiana",1,Pizza Place,Mexican Restaurant,Fast Food Restaurant,Chinese Restaurant,American Restaurant,Italian Restaurant,Sandwich Place,Bakery,Burger Joint,Sushi Restaurant,Mediterranean Restaurant,Steakhouse,Thai Restaurant,BBQ Joint,Seafood Restaurant,Deli / Bodega,Donut Shop,Soup Place,Café,Wings Joint,Mongolian Restaurant,Fried Chicken Joint,Gastropub,German Restaurant,New American Restaurant
241,242,Rochester,Minnesota,"116,961",44.0154,-92.4772,"Rochester, Minnesota",6,Sandwich Place,American Restaurant,Pizza Place,Food,Diner,Fast Food Restaurant,BBQ Joint,Mexican Restaurant,Bakery,New American Restaurant,Greek Restaurant,Asian Restaurant,Italian Restaurant,Breakfast Spot,Sushi Restaurant,Steakhouse,Japanese Restaurant,Burger Joint,Seafood Restaurant,Middle Eastern Restaurant,Café,Mediterranean Restaurant,Chinese Restaurant,Wings Joint,Noodle House
